smiles,DSSTox_CID,Formula,FW,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,Compound ID,Sample ID,Stoichiometry,Alt ID,PUBCHEM_SID
CN1CC(O)C(O)C(O)C1CO,,,,,,,,,,,,,,,,NCGC00261053,NCGC00261053-01,0,M 1777,
Cl.OCC1NCC(O)C(O)C1O,,,,,,,,,,,,,,,,NCGC00261129,NCGC00261129-01,0,D 9305,
CCCC(=O)NCCc1c2n(c3ccc(OC)cc13)CCCc1ccccc1-2,,,,,,,,,,,,,,,,NCGC00261381,NCGC00261381-01,0,K 1888,
O=c1cc(-c2ccccc2F)[nH]c2cc3c(cc12)OCO3,,,,,,,,,,,,,,,,NCGC00261426,NCGC00261426-01,0,C1244,
Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)C(O)[C@H]1O,,,,,,,,,,,,,,,,NCGC00260979,NCGC00260979-01,0,C 5134,
OC[C@H]1O[C@@H](n2cnc3c(NC4CCCC4)ncnc32)[C@H](O)C1O,,,,,,,,,,,,,,,,NCGC00260993,NCGC00260993-01,0,C 8031,
OC[C@H]1O[C@@H](n2cnc3cncnc32)[C@H](O)[C@@H]1O,,,,,,,,,,,,,,,,NCGC00261108,NCGC00261108-01,0,D 8296,
CNc1ncnc2c1ncn2[C@H]1C[C@H](OP(=O)([O-])O)[C@@H](COP(=O)([O-])O)O1.[NH4+].[NH4+],,,,,,,,,,,,,,,,NCGC00261441,NCGC00261441-01,0,M 3808,
Nc1ncnc2c1ncn2C1CCCO1,,,,,,,,,,,,,,,,NCGC00261877,NCGC00261877-01,0,S-153,
Nc1nc2c(nc(Br)n2C2OC3CO[P@@](=O)([O-])O[C@@H]3C2O)c(=O)[nH]1.[Na+],,,,,,,,,,,,,,,,NCGC00260815,NCGC00260815-01,0,B 1381,
O=C(O)c1cc([N+](=O)[O-])ccc1NCCCc1ccccc1,,,,,,,,,,,,,,,,NCGC00261542,NCGC00261542-01,0,N 4779,
C[N+]1(C)C2CCC1CC(OC(=O)c1c[nH]c3ccccc13)C2.[I-],,,,,,,,,,,,,,,,NCGC00261958,NCGC00261958-01,0,T-113,
CC(=O)O[C@H]1Cc2ccccc2N(C(N)=O)c2ccccc21,,,,,,,,,,,,,,,,NCGC00261787,NCGC00261787-01,0,B 5435,
O=c1[nH]c(=S)[nH]c(-c2ccccc2)c1Cc1c(O)ccc2ccccc12,,,,,,,,,,,,,,,,NCGC00261065,NCGC00261065-01,0,C0494,
CC#CCOC(=O)c1c(C)nc2sc3c(c2c1N)CCC(O)C3,,,,,,,,,,,,,,,,NCGC00261804,NCGC00261804-01,0,S 7936,
N#Cc1cc([N+](=O)[O-])c2sc(C(N)=O)[n+]([O-])c2c1,,,,,,,,,,,,,,,,NCGC00260875,NCGC00260875-01,0,B 6311,
Cc1cnc(NC(=O)C2=C([O][Na])c3ccccc3S(=O)(=O)N2C)s1,,,,,,,,,,,,,,,,NCGC00261451,NCGC00261451-01,0,M 3935,
Nc1c(S(=O)(=O)[O-])cc(Nc2ccc(Nc3nc(Cl)nc(Nc4ccc(S(=O)(=O)[O-])cc4)n3)c(S(=O)(=O)[O-])c2)c2c1C(=O)c1ccccc1C2=O.[Na+].[Na+].[Na+],,,,,,,,,,,,,,,,NCGC00261739,NCGC00261739-01,0,R-115,
COc1cc(/C=C(\C#N)C(=O)Nc2nnc(C(F)(F)F)s2)ccc1OCc1ccc(C(F)(F)F)cc1C(F)(F)F,,,,,,,,,,,,,,,,NCGC00261948,NCGC00261948-01,0,X4753,
CCCCOC(=O)NS(=O)(=O)c1sc(CC(C)C)cc1-c1ccc(Cn2c(CC)nc3c(C)cc(C)nc32)cc1,,,,,,,,,,,,,,,,NCGC00261382,NCGC00261382-01,0,L 1415,
Cc1nc(/N=N/c2ccc(S(=O)(=O)[O-])cc2S(=O)(=O)[O-])c(COP(=O)([O-])[O-])c(C=O)c1O.[Na+].[Na+].[Na+].[Na+],,,,,,,,,,,,,,,,NCGC00261663,NCGC00261663-01,0,P-178,174006657.0
CN1CCC(c2c[nH]c3ccc(O)cc23)CC1.O=C(O)/C=C\C(=O)O,,,,,,,,,,,,,,,,NCGC00260892,NCGC00260892-01,0,B-173,
COc1cc2c(CCNC(C)=O)c[nH]c2cc1O,,,,,,,,,,,,,,,,NCGC00261297,NCGC00261297-01,0,H 0627,
O=C(O)Cc1c[nH]c2ccc(O)cc12,,,,,,,,,,,,,,,,NCGC00261321,NCGC00261321-01,0,H 8876,
CC(N)Cc1c[nH]c2ccc(OCc3cccs3)cc12.Cl,,,,,,,,,,,,,,,,NCGC00261446,NCGC00261446-01,0,B175,
COc1ccc2[nH]cc(CCN)c2c1.Cl,,,,,,,,,,,,,,,,NCGC00261474,NCGC00261474-01,0,M 6628,
CCN(CC)c1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])C(Br)(Br)P(=O)([O-])O)[C@@H](O)[C@H]1O.[Na+].[Na+].[Na+],,,,,,,,,,,,,,,,NCGC00260834,NCGC00260834-01,0,A-265,
CSc1nc(N)c2ncn([C@@H]3O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])C(O)[C@H]3O)c2n1.[Na+].[Na+].[Na+].[Na+],,,,,,,,,,,,,,,,NCGC00260840,NCGC00260840-01,0,A-023,
Nc1ncnc2c1nc(Sc1ccc(Cl)cc1)n2[C@H]1OC2CO[P@@](=O)([O-])O[C@@H]2C1O.[Na+],,,,,,,,,,,,,,,,NCGC00260947,NCGC00260947-01,0,C 3912,
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OP(=O)(O)OC[C@@H]2O[C@H](n3cnc4c(N)ncnc43)[C@@H](O)C2O)C(O)[C@H]1O.[NH4+].[NH4+].[NH4+],,,,,,,,,,,,,,,,NCGC00261080,NCGC00261080-01,0,D 1262,
NC(=O)C1=CN(C2OC(COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])C3O)C(O)C2O)C=CC1.[Na+].[Na+].[Na+].[Na+],,,,,,,,,,,,,,,,NCGC00261563,NCGC00261563-01,0,N 7505,
NC(=S)c1ccc[n+]([C@@H]2O[C@@H](COP(=O)([O-])OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])O)C3O)C(O)C2O)c1.[Na+],,,,,,,,,,,,,,,,NCGC00261873,NCGC00261873-01,0,T 5515,
Nc1ccc(CCNc2ncnc3c2ncn3C2OC(CO)C(O)C2O)cc1,,,,,,,,,,,,,,,,NCGC00260803,NCGC00260803-01,0,A-202,
CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4ccc(N)cc4)ncnc32)[C@H](O)C1O,,,,,,,,,,,,,,,,NCGC00260833,NCGC00260833-01,0,A-236,
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(NCCc4ccc(CCC(=O)O)cc4)nc32)[C@H](O)C1O.Cl,,,,,,,,,,,,,,,,NCGC00261008,NCGC00261008-01,0,C-141,
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)C1O,,,,,,,,,,,,,,,,NCGC00261155,NCGC00261155-01,0,E 2387,
C[C@H](Cc1ccccc1)Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)C(O)[C@H]1O,,,,,,,,,,,,,,,,NCGC00261643,NCGC00261643-01,0,P 4532,
NCCc1c[nH]c2ccc(C(N)=O)cc12.O=C(O)/C=C\C(=O)O,,,,,,,,,,,,,,,,NCGC00261037,NCGC00261037-01,0,C-117,
O=C(Cc1ccccc1Nc1c(Cl)cccc1Cl)[O][Na],,,,,,,,,,,,,,,,NCGC00261126,NCGC00261126-01,0,D 6899,
COC(=O)C1=C(C)NC(C)=C([N+](=O)[O-])C1c1ccccc1C(F)(F)F,,,,,,,,,,,,,,,,NCGC00260871,NCGC00260871-01,0,B-112,
CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)OCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,,,,,,,,,,,,,,,,NCGC00260713,NCGC00260713-01,0,A 5330,
CC(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(N(C)C)c4C[C@H]3C[C@@H]12.Cl,,,,,,,,,,,,,,,,NCGC00261487,NCGC00261487-01,0,M 9511,
Cl.Oc1ccc2c3c1O[C@H]1c4[nH]c5ccccc5c4C[C@@]4(O)C(C2)N(CC2CC2)CCC314,,,,,,,,,,,,,,,,NCGC00261545,NCGC00261545-01,0,N-115,
COc1cc(N)c(Cl)cc1C(=O)OCCN1CCCCC1,,,,,,,,,,,,,,,,NCGC00261480,NCGC00261480-01,0,M 7319,
CCN(CC)CCOC(=O)c1cc(Cl)c(N)cc1OC.Cl,,,,,,,,,,,,,,,,NCGC00261838,NCGC00261838-01,0,S-174,
CCCCCCCC/C=C\CCCCCCCC(=O)NCCO,,,,,,,,,,,,,,,,NCGC00261627,NCGC00261627-01,0,O 0383,
C[N+](C)(C)CC#CCN1CCCC1=O.[I-],,,,,,,,,,,,,,,,NCGC00261639,NCGC00261639-01,0,O-100,
CCN1C(=O)C=CC1=O,,,,,,,,,,,,,,,,NCGC00261177,NCGC00261177-01,0,E 3876,
Cl.NOCC(=O)O.NOCC(=O)O,,,,,,,,,,,,,,,,NCGC00260692,NCGC00260692-01,0,A 4508,
CC(=O)/C(C)=N/O,,,,,,,,,,,,,,,,NCGC00260775,NCGC00260775-01,0,B 0753,
CC(=O)NBr,,,,,,,,,,,,,,,,NCGC00260876,NCGC00260876-01,0,B 2377,
NC(=O)C(=O)[O-].[Na+],,,,,,,,,,,,,,,,NCGC00261598,NCGC00261598-01,0,O 2751,
CCN(CC)CCCCCCCCOC(=O)c1cc(OC)c(OC)c(OC)c1.Cl,,,,,,,,,,,,,,,,NCGC00260707,NCGC00260707-01,0,861804,
O=Nc1ccc2oc(=O)ccc2c1,,,,,,,,,,,,,,,,NCGC00261554,NCGC00261554-01,0,N 8403,
COc1cccc(-c2cc(=O)c3ccccc3o2)c1N,,,,,,,,,,,,,,,,NCGC00261713,NCGC00261713-01,0,P-215,
CC(=O)c1c(O)c(C)c(O)c(Cc2c(O)c3c(c(C(=O)/C=C/c4ccccc4)c2O)OC(C)(C)C=C3)c1O,,,,,,,,,,,,,,,,NCGC00261737,NCGC00261737-01,0,R 5648,
O=C1c2c(O)cc(O)cc2OC(c2ccc(O)c(O)c2)C1O,,,,,,,,,,,,,,,,NCGC00261882,NCGC00261882-01,0,T 4512,
COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)C2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O,,,,,,,,,,,,,,,,NCGC00261933,NCGC00261933-01,0,W 1628,
COC(=O)C1=CO[C@@H](O)[C@@H]2C(CO)=CC[C@H]12,,,,,,,,,,,,,,,,NCGC00261201,NCGC00261201-01,0,G4796,
C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OC4OC(CO)C(O)C(O)C4O)[C@@H]2CC[C@]1(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)C3,,,,,,,,,,,,,,,,NCGC00261398,NCGC00261398-01,0,S3572,
C=C(C)[C@@H]1[C@H]2OC(=O)[C@@H]1[C@]1(O)C[C@H]3O[C@]34C(=O)O[C@H]2[C@]14C.CC(C)(O)[C@@H]1[C@H]2OC(=O)[C@@H]1[C@]1(O)C[C@H]3O[C@]34C(=O)O[C@H]2[C@]14C,,,,,,,,,,,,,,,,NCGC00261601,NCGC00261601-01,0,P 1675,
CC1(C(=O)O)C2CCC(O2)C1(C)C(=O)O,,,,,,,,,,,,,,,,NCGC00261003,NCGC00261003-01,0,C 8088,
OCC1O[C@H](O)C(Cl)C(O)C1O,,,,,,,,,,,,,,,,NCGC00261019,NCGC00261019-01,0,C-203,
Cl.Cl.Cl.NCCC1CCCC(CCN)N1,,,,,,,,,,,,,,,,NCGC00261519,NCGC00261519-01,0,M-166,
Cl.Cl.Cl.NCCCCNCCCN,,,,,,,,,,,,,,,,NCGC00261732,NCGC00261732-01,0,S 2501,
S=C([S-])N1CCCC1.[NH4+],,,,,,,,,,,,,,,,NCGC00261718,NCGC00261718-01,0,P 8765,
CC(=O)SCC[N+](C)(C)C.[Cl-],,,,,,,,,,,,,,,,NCGC00260743,NCGC00260743-01,0,A 5626,
NCCCS(=O)(=O)[O-].[Na+],,,,,,,,,,,,,,,,NCGC00260751,NCGC00260751-01,0,A 4147,
C[N+](C)(C)CC=O.[Cl-],,,,,,,,,,,,,,,,NCGC00260867,NCGC00260867-01,0,B 3650,
Cl.Cl.NCCSSCCN,,,,,,,,,,,,,,,,NCGC00260982,NCGC00260982-01,0,C 7255,
Br.CCSC(=N)N,,,,,,,,,,,,,,,,NCGC00261176,NCGC00261176-01,0,E 3149,
[Li][Cl],,,,,,,,,,,,,,,,NCGC00261289,NCGC00261289-01,0,L 4408,
CSC(=N)N.CSC(=N)N.O=S(=O)(O)O,,,,,,,,,,,,,,,,NCGC00261440,NCGC00261440-01,0,M 3127,
Cl.Cl.NCCCCN,,,,,,,,,,,,,,,,NCGC00261657,NCGC00261657-01,0,P 7505,
O=c1ccc2c(OCCCCc3ccccc3)c3ccoc3cc2o1,,,,,,,,,,,,,,,,NCGC00260822,NCGC00260822-01,0,P 9872,
CCCC[C@@]1(C2CCCC2)Cc2cc(OCC(=O)O)c(Cl)c(Cl)c2C1=O,,,,,,,,,,,,,,,,NCGC00261142,NCGC00261142-01,0,D-129,
C[C@]12CCC3C(CC[C@H]4C[C@H](O)CC[C@]34C)C1CC[C@@H]2C(=O)CO,,,,,,,,,,,,,,,,NCGC00261582,NCGC00261582-01,0,P 2016,
N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,,,,,,,,,,,,,,,,NCGC00261825,NCGC00261825-01,0,T 6943,
N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCCCNC(=O)/C(C#N)=C/c1ccc(O)c(O)c1,,,,,,,,,,,,,,,,NCGC00261833,NCGC00261833-01,0,T 4693,
COc1ccc(C=C(C#N)C#N)cc1,,,,,,,,,,,,,,,,NCGC00261835,NCGC00261835-01,0,T 7040,
CC(C)(C)c1cc(/C=C(\C#N)C(N)=S)cc(C(C)(C)C)c1O,,,,,,,,,,,,,,,,NCGC00261860,NCGC00261860-01,0,T 2067,
N#CC(=Cc1ccc(O)c(O)c1)C(N)=S,,,,,,,,,,,,,,,,NCGC00261906,NCGC00261906-01,0,T 7540,
N#CC(C#N)=C/C(N)=C(/C#N)c1cc(O)c(O)c(O)c1,,,,,,,,,,,,,,,,NCGC00261916,NCGC00261916-01,0,T 7665,
CC(C)(C)c1cc(C=C(C#N)C#N)cc(C(C)(C)C)c1O,,,,,,,,,,,,,,,,NCGC00261939,NCGC00261939-01,0,T-182,
CC(C)NP(=O)(NC(C)C)OP(=O)(NC(C)C)NC(C)C,,,,,,,,,,,,,,,,NCGC00261869,NCGC00261869-01,0,T 1505,
O=C(O)CCC/C=C\C[C@@H]1[C@@H](/C=C/[C@H](O)C2Cc3ccccc3C2)[C@@H](F)C[C@@H]1O,,,,,,,,,,,,,,,,NCGC00261163,NCGC00261163-01,0,A 3846,
CC(=O)[C@H]1CCC2C3CC=C4C[C@@H](OS(=O)(=O)[O-])CC[C@]4(C)C3CC[C@@]21C.[Na+],,,,,,,,,,,,,,,,NCGC00261653,NCGC00261653-01,0,P-162,
C1CNCCN1.COc1cc(C(O)CO)ccc1O.COc1cc(C(O)CO)ccc1O,,,,,,,,,,,,,,,,NCGC00261248,NCGC00261248-01,0,H 1377,
CC1CCN=C(N)S1.Cl,,,,,,,,,,,,,,,,NCGC00260770,NCGC00260770-01,0,A 9834,
N[C@H](C(=O)O)c1cc(O)cc(O)c1,,,,,,,,,,,,,,,,NCGC00261013,NCGC00261013-01,0,D 3689,
O=C1/C(=C/c2ccsc2)CC/C1=C\c1cccs1,,,,,,,,,,,,,,,,NCGC00261910,NCGC00261910-01,0,C 9369,
C=C(C)C1CC=C(C(=O)O)CC1,,,,,,,,,,,,,,,,NCGC00261686,NCGC00261686-01,0,218359,
CCCCCCCCCCC/C=C\C(C)(C)/C=C\CCCC(=O)O,,,,,,,,,,,,,,,,NCGC00261147,NCGC00261147-01,0,D 8008,
CCCCCCC/C=C\CCCCCCCCC(=O)O,,,,,,,,,,,,,,,,NCGC00261578,NCGC00261578-01,0,O 1008,
NC(C(=O)O)c1cc(O)no1,,,,,,,,,,,,,,,,NCGC00261336,NCGC00261336-01,0,I 2765,
C=C/C(C)=C/[C@@]1(C)SC(=O)C(C)=C1O,,,,,,,,,,,,,,,,NCGC00261593,NCGC00261593-01,0,T 9567,
Br.C#CCOC(=O)C1=CCCN(C)C1,,,,,,,,,,,,,,,,NCGC00260821,NCGC00260821-01,0,A-140,
O=C(O)C1CN(CCCP(=O)(O)O)CCN1,,,,,,,,,,,,,,,,NCGC00261007,NCGC00261007-01,0,C-104,
Cl.O=C(O)C1=CCNCC1,,,,,,,,,,,,,,,,NCGC00261246,NCGC00261246-01,0,G-002,
CP(=O)([O-])C1=CC[NH2+]CC1,,,,,,,,,,,,,,,,NCGC00261949,NCGC00261949-01,0,T-200,
Cl.NCC(O)c1cc(O)c(O)cc1F,,,,,,,,,,,,,,,,NCGC00260890,NCGC00260890-01,0,B-012,
Cl.O=C(O)Cc1c[nH]cn1,,,,,,,,,,,,,,,,NCGC00261294,NCGC00261294-01,0,I 0375,
Br.Br.N=C(N)SCCc1c[nH]cn1,,,,,,,,,,,,,,,,NCGC00261330,NCGC00261330-01,0,I-135,
COC(=O)C(C)(N)Cc1ccc(O)cc1.Cl,,,,,,,,,,,,,,,,NCGC00261470,NCGC00261470-01,0,M 3281,
Cl.NC1C=CC=C(C(=O)O)C1,,,,,,,,,,,,,,,,NCGC00260691,NCGC00260691-01,0,A 3539,
NC(Cc1cccc(-c2ccccc2CP(=O)(O)O)c1)C(=O)O,,,,,,,,,,,,,,,,NCGC00261693,NCGC00261693-01,0,P-204,
Cl.O[Si](CCCN1CCCCC1)(c1ccc(F)cc1)C1CCCCC1,,,,,,,,,,,,,,,,NCGC00261293,NCGC00261293-01,0,H-127,
C[C@@H](N)[C@H]1CC[C@H](C(=O)Nc2ccncc2)CC1.Cl.Cl,,,,,,,,,,,,,,,,NCGC00261018,NCGC00261018-01,0,Y 0503,
CNCCc1ccc(O)c(O)c1.Cl,,,,,,,,,,,,,,,,NCGC00261075,NCGC00261075-01,0,D 5886,
Br.CCCN(CCC)CCc1ccc(O)c(O)c1,,,,,,,,,,,,,,,,NCGC00261150,NCGC00261150-01,0,D-031,
C[C@@H](CN1CCC(Cc2ccccc2)CC1)[C@@H](O)c1ccc(O)cc1.Cl,,,,,,,,,,,,,,,,NCGC00261767,NCGC00261767-01,0,R 7150,
O=C(O)CNC(=O)C(CS)Cc1ccccc1,,,,,,,,,,,,,,,,NCGC00261824,NCGC00261824-01,0,T 6031,
C#CCN[C@H](C)Cc1ccccc1.Cl,,,,,,,,,,,,,,,,NCGC00261146,NCGC00261146-01,0,D 6940,
Cl.NCCc1ccc(S(=O)(=O)F)cc1,,,,,,,,,,,,,,,,NCGC00260817,NCGC00260817-01,0,A 8456,
CC(N)c1cccc(Cl)c1Cl.Cl,,,,,,,,,,,,,,,,NCGC00261161,NCGC00261161-01,0,D-103,
NC(=O)c1cccc(N)c1,,,,,,,,,,,,,,,,NCGC00260728,NCGC00260728-01,0,A 0788,
CC(=O)O.N=C(N)N/N=C/c1c(Cl)cccc1Cl,,,,,,,,,,,,,,,,NCGC00261286,NCGC00261286-01,0,G-110,
Br.CCCN(CCC)[C@@H]1CCc2ccc(O)cc2C1,,,,,,,,,,,,,,,,NCGC00261254,NCGC00261254-01,0,H-168,
Br.CCCN(CCC)C1CCc2cccc(O)c2C1,,,,,,,,,,,,,,,,NCGC00261261,NCGC00261261-01,0,H 8250,
CCCN(CCc1ccccc1)C1CCc2c(O)cccc2C1.Cl,,,,,,,,,,,,,,,,NCGC00261691,NCGC00261691-01,0,P-105,
CCCN(CCC)[C@H]1CCc2c(F)ccc(O)c2C1.Cl,,,,,,,,,,,,,,,,NCGC00261921,NCGC00261921-01,0,U-108,
C[N+](C)(C)CC#CCOC(=O)Nc1cccc(Cl)c1.[Cl-],,,,,,,,,,,,,,,,NCGC00260962,NCGC00260962-01,0,C 7041,
Cl.N=C(N)NC(=N)Nc1cccc(Cl)c1,,,,,,,,,,,,,,,,NCGC00261028,NCGC00261028-01,0,C-144,
Cl.Clc1cc(I)cc(Cl)c1N=C1NCCN1,,,,,,,,,,,,,,,,NCGC00261349,NCGC00261349-01,0,I-114,
S=C(Nc1ccccc1)Nc1nccs1,,,,,,,,,,,,,,,,NCGC00261583,NCGC00261583-01,0,P 4015,
N=C(N)NC(=N)Nc1ccccc1,,,,,,,,,,,,,,,,NCGC00261672,NCGC00261672-01,0,P-120,
Brc1c(Br)c(Br)c2[nH]nnc2c1Br,,,,,,,,,,,,,,,,NCGC00261620,NCGC00261620-01,0,T 0826,
CN1CCc2cc(Cl)c(O)cc2[C@@H](c2ccccc2)C1.Cl,,,,,,,,,,,,,,,,NCGC00261141,NCGC00261141-01,0,D-054,
Br.Cc1cccc(C2CN(C)CCc3c2cc(O)c(O)c3Cl)c1,,,,,,,,,,,,,,,,NCGC00261752,NCGC00261752-01,0,S 2816,
Br.C=CCN1CCc2cc(O)c(O)cc2C(c2ccccc2)C1,,,,,,,,,,,,,,,,NCGC00261828,NCGC00261828-01,0,S-168,
Cl.OC1CCCCC1N1CCC(c2ccccc2)CC1,,,,,,,,,,,,,,,,NCGC00261913,NCGC00261913-01,0,V-100,
Cc1ccccc1/C=C/C1=NCCN1.O=C(O)C(=O)O,,,,,,,,,,,,,,,,NCGC00261473,NCGC00261473-01,0,M 5685,
O=C([O-])C[C@H](O)CC(O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1.O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1.[Ca+2],,,,,,,,,,,,,,,,NCGC00356953,NCGC00356953-01,0,,
C[N+](C)(C)CCCCCC[N+](C)(C)C.[Cl-].[Cl-],,,,,,,,,,,,,,,,NCGC00357009,NCGC00357009-01,0,,
[Cl-].c1ccc(C[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,,,,,,,,,,,,,,,,NCGC00357188,NCGC00357188-01,0,,
CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccccc2)cc1.[Cl-],,,,,,,,,,,,,,,,NCGC00357201,NCGC00357201-01,0,,
CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],,,,,,,,,,,,,,,,NCGC00357189,NCGC00357189-01,0,,
CC[N+](CC)(CC)Cc1ccccc1.[Cl-],,,,,,,,,,,,,,,,NCGC00357163,NCGC00357163-01,0,,
CCc1c(C(=O)[O-])c(=O)cnn1-c1ccc(Cl)cc1.[K+],,,,,,,,,,,,,,,,NCGC00357001,NCGC00357001-01,0,,
O=P([O-])([O-])CN(CP(=O)([O-])[O-])CP(=O)([O-])O.[Na+].[Na+].[Na+].[Na+].[Na+],,,,,,,,,,,,,,,,NCGC00357030,NCGC00357030-01,0,,
O=S(=O)([O-])c1cc(S(=O)(=O)[O-])c2ccc3c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c4ccc1c2c43.[Na+].[Na+].[Na+].[Na+],,,,,,,,,,,,,,,,NCGC00357123,NCGC00357123-01,0,,
COc1ccc([N+](=O)[O-])cc1[O-].[Na+],,,,,,,,,,,,,,,,NCGC00357091,NCGC00357091-01,0,,
CCc1cccc(CC)c1N(COC)C(=O)CS(=O)(=O)[O-].[Na+],,,,,,,,,,,,,,,,NCGC00357004,NCGC00357004-01,0,,
O=S([O-])O.[Na+],,,,,,,,,,,,,,,,NCGC00357103,NCGC00357103-01,0,,
COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c1-c1ccc(F)cc1.[Na+],,,,,,,,,,,,,,,,NCGC00357289,NCGC00357289-01,0,,
[Na+].[O-]c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,,,,,,,,,,,,,,,,NCGC00357082,NCGC00357082-01,0,,
CCc1cccc(CC)c1NC(=O)C(=O)[O-].[Na+],,,,,,,,,,,,,,,,NCGC00356999,NCGC00356999-01,0,,
Nc1ccc(S(=O)(=O)[N-]c2nccs2)cc1.[Na+],,,,,,,,,,,,,,,,NCGC00357116,NCGC00357116-01,0,,
Nc1ccc2c(S(=O)(=O)O)cccc2c1S(=O)(=O)[O-].[Na+],,,,,,,,,,,,,,,,NCGC00357010,NCGC00357010-01,0,,
CCN(CCC#N)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2)cc1,,,,,,,,,,,,,,,,NCGC00357057,NCGC00357057-01,0,,
B.C1COCCN1,,,,,,,,,,,,,,,,NCGC00357171,NCGC00357171-01,0,,
N#CBr,,,,,,,,,,,,,,,,NCGC00356964,NCGC00356964-01,0,,
C=CC(=O)OCC(Br)CBr,,,,,,,,,,,,,,,,NCGC00356995,NCGC00356995-01,0,,
CCc1c(Br)c(Br)c(Br)c(Br)c1Br,,,,,,,,,,,,,,,,NCGC00357205,NCGC00357205-01,0,,
Brc1cc(Br)cc(Br)c1,,,,,,,,,,,,,,,,NCGC00357185,NCGC00357185-01,0,,
Nc1c(Br)cc([N+](=O)[O-])cc1Br,,,,,,,,,,,,,,,,NCGC00357028,NCGC00357028-01,0,,
Brc1ccccn1,,,,,,,,,,,,,,,,NCGC00357064,NCGC00357064-01,0,,
Brc1c(Br)c(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,,,,,,,,,,,,,,,,NCGC00357196,NCGC00357196-01,0,,
O=C1OC2(c3ccccc31)c1ccc(O)c(Br)c1Oc1c2ccc(O)c1Br,,,,,,,,,,,,,,,,NCGC00357271,NCGC00357271-01,0,,
BrCC(Br)c1ccccc1,,,,,,,,,,,,,,,,NCGC00357213,NCGC00357213-01,0,,
CCCCCCCCCCBr,,,,,,,,,,,,,,,,NCGC00357198,NCGC00357198-01,0,,
C#CC(O)CCC,,,,,,,,,,,,,,,,NCGC00357079,NCGC00357079-01,0,,
CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccccc2)cc1.O=C([O-])C(=O)O,,,,,,,,,,,,,,,,NCGC00356984,NCGC00356984-01,0,,
C=CC(=C)CC/C=C(\C)CCC=C(C)C,,,,,,,,,,,,,,,,NCGC00357080,NCGC00357080-01,0,,
CC(C)=CCCC(C)O,,,,,,,,,,,,,,,,NCGC00357173,NCGC00357173-01,0,,
CC(C)=NNC(N)=S,,,,,,,,,,,,,,,,NCGC00357277,NCGC00357277-01,0,,
C[As+](C)(C)CC(=O)[O-],,,,,,,,,,,,,,,,NCGC00357240,NCGC00357240-01,0,,
COCC(=O)N(c1c(C)cccc1C)[C@H](C)C(=O)OC,,,,,,,,,,,,,,,,NCGC00357145,NCGC00357145-01,0,,
CCOC(=O)[C@H](C)O,,,,,,,,,,,,,,,,NCGC00357157,NCGC00357157-01,0,,
C/C(=N/[Si](C)(C)C)O[Si](C)(C)C,,,,,,,,,,,,,,,,NCGC00357160,NCGC00357160-01,0,,
